County,Public Water Supply,Population Served,Sampling Date,Sample Number,Raw Water or Treated Drinking Water?,PFOA + PFOS (ppt),Total Tested PFAS (ppt),Method
LIVINGSTON,"Brighton, City of",7636,07/18/2018,GWEF1807181300GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,"Brighton, City of",7636,07/18/2018,GWEF1807181320GSC,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
WAYNE,Grosse Pointe Farms,14900,07/17/2018,SWEF1807171020GSC,Treated Drinking Water,ND,ND,Isotope Dilution
BERRIEN,Coloma,2980,07/16/2018,GWIN1807161000GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Coloma,2980,07/16/2018,GWIN1807161020GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
WAYNE,Grosse Pointe Farms,14900,07/17/2018,SWIN1807171015GSC,Raw Water,ND,ND,Isotope Dilution
WAYNE,Grosse Pointe Farms,14900,07/17/2018,SWEF1807171020GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Coloma,2980,07/16/2018,GWIN1807161005GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Hartland Township,2200,07/25/2018,GWEF1807251315GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Niles,16485,07/24/2018,GWEF1807241035GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Concord,1050,07/24/2018,GWEF1807241020KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Hartland Hills Condominiums,100,07/25/2018,GWEF1807251145GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Oak Pointe,1900,07/25/2018,GWEF1807250930GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Deerfield,943,08/02/2018,SWIN1808021020GSC,Raw Water,ND,8,Isotope Dilution
BERRIEN,Three Oaks,1622,07/19/2018,GWEF1807191230GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Lake Michigan Beach Resort Pottawattamie,80,07/20/2018,GWNT1807201130GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Springport,800,07/17/2018,GWIN1807171300KER,Raw Water,ND,3,EPA 537 Rev. 1.1
LIVINGSTON,Fonda Lake Water Authority,1200,07/25/2018,GWEF1807231045GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,MHOG Sewer & Water Authority,12860,07/25/2018,GWEF1807250900GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Springport,800,07/17/2018,GWIN1807171315KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Deerfield,943,08/02/2018,SWEF1808021030GSC,Treated Drinking Water,ND,ND,Isotope Dilution
BERRIEN,Riverside Estates,218,07/24/2018,GWEF1807240900GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Fairlawn Meadows,120,07/25/2018,GWNT1807251500GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Deerfield,943,08/02/2018,SWEF1808021030GSC,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
BERRIEN,Niles,16485,07/24/2018,GWEF1807241100GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
CALHOUN,Twin Pines Mobile Home Park,182,07/24/2018,GWNT1807241100KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Bishop Lake Apartments,50,07/25/2018,GWEF1807250810GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Niles,16485,07/24/2018,GWEF1807240930GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Niles,16485,07/24/2018,GWEF1807241000GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Concord,1050,07/24/2018,GWEF1807241000KER,Treated Drinking Water,ND,3,EPA 537 Rev. 1.1
JACKSON,Spring Valley Estates,248,07/19/2018,GWNT1807191500KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Buchanan,4871,07/19/2018,GWEF1807191430GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Coffmans Trailer Park,100,07/20/2018,GWNT1807201030KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Benton Harbor,9970,07/20/2018,SWEF1807201010GGA,Treated Drinking Water,ND,ND,Isotope Dilution
BERRIEN,Benton Harbor,9970,07/20/2018,SWEF1807201010GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Bridgman,2291,07/19/2018,SWEF1807191020GGA,Treated Drinking Water,ND,ND,Isotope Dilution
BERRIEN,Benton Charter Township,6620,07/20/2018,SWIN1807201100GGA,Raw Water,ND,ND,Isotope Dilution
BERRIEN,Bridgman,2291,07/19/2018,SWIN18071910GGA,Raw Water,2,2,Isotope Dilution
LIVINGSTON,Greenfield Pointe Subdivision,320,07/19/2018,GWEF1807191400GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Lilly Bank Lane,48,07/20/2018,GWNT1807201000KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Copper Meadows,128,07/24/2018,GWEF1807241420GSC-FD,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Grass Lake,1360,07/20/2018,GWEF1807201100KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Northville Crossing,1890,07/24/2018,GWEF1807241315GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,New Buffalo,1940,07/19/2018,SWIN1807191120GGA,Raw Water,ND,ND,Isotope Dilution
BERRIEN,St Joseph,35569,07/20/2018,SWEF1807200930GGA,Treated Drinking Water,2,2,EPA 537 Rev. 1.1
LIVINGSTON,Fairlane Estates,150,07/25/2018,GWNT1807251230,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,New Buffalo,1940,07/19/2018,SWEF1807191130GGA,Treated Drinking Water,2,2,Isotope Dilution
LIVINGSTON,Silver Lake Mobile Home Park,68,07/23/2018,GWEF1807231145GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,"Howell, City of",9232,07/23/2018,GWEF1807230930GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Watervliet,2735,07/23/2018,GWEF1807231030GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Orchard Grove,725,07/24/2018,GWEF1807240845GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Grand Rapids,329500,04/20/2018,SWT1804201020GSC,Treated Drinking Water,ND,3,Isotope Dilution
LIVINGSTON,Woodruff Lake Co-Op Apartments,95,07/23/2018,GWEF1807231100GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
CALHOUN,Battle Creek - Verona System,51284,07/25/2018,GWEF1807251430,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Grand Rapids,329500,04/20/2018,SWT1804201025GSC,Treated Drinking Water,2,2,EPA 537 Rev. 1.1
WASHTENAW,Dexter,4160,07/24/2018,GWEF1807241530GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Woodruff Lake Co-Op Apartments,95,07/23/2018,GWEF1807231110GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Green Oak Twp - Centennial Farms,900,07/23/2018,GWEF1807231400GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,St Joseph,35569,07/20/2018,SWEF1807200930GGA,Treated Drinking Water,ND,ND,Isotope Dilution
BERRIEN,Benton Harbor,9970,07/20/2018,SWIN1807201000GGA,Raw Water,ND,ND,Isotope Dilution
BERRIEN,Bridgman,2291,07/19/2018,SWEF1807191020GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Copper Meadows,128,07/24/2018,GWEF1807241415GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Saline Valley Farms,36,07/24/2018,GWEF1807240945GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Lake Pointe Condominiums,74,07/23/2018,GWEF1807231000GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Dexter,4160,07/24/2018,GWEF1807241550GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Pleasant Lake Mobile Home Park,60,07/24/2018,GWIN1807240905GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,New Buffalo,1940,07/19/2018,SWEF1807191130GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Benton Charter Township,6620,07/20/2018,SWEF1807201110GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,St Joseph,35569,07/20/2018,SWIN1807200940GGA,Raw Water,ND,ND,Isotope Dilution
BERRIEN,Benton Charter Township,6620,07/20/2018,SWEF1807201110GGA,Treated Drinking Water,ND,ND,Isotope Dilution
JACKSON,Coachmans Cove,625,07/20/2018,GWEF1807201200KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Grand Rapids,329500,04/20/2018,SWR1804201015GSC,Raw Water,2,2,Isotope Dilution
KENT,Sparta,4140,04/18/2018,GW1804181255CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Sparta,4140,04/18/2018,GW1804181245CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181345KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Fremont,4081,07/11/2018,GWIN1807111200GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181105KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181240KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181130KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181310KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181045KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Fremont,4081,07/11/2018,GWIN1807111340GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Fremont,4081,07/11/2018,GWIN1807111310GGA,Treated Drinking Water,2,2,EPA 537 Rev. 1.1
INGHAM,"Mason, City of",8252,07/10/2018,GWEF1807100830KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Mason Manor,630,07/10/2018,GWNT1807101215KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,"Sisters of Mary, Mother of Eucharist",100,07/16/2018,GWEF1807161245GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Willows on Twin Ponds,147,07/16/2018,GWIN1807161145KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181220KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Blissfield,3340,08/02/2018,SWIN1808021125GSC,Raw Water,4,8,Isotope Dilution
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181120KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Blissfield,3340,08/02/2018,SWEF1808021115GSC,Treated Drinking Water,ND,3,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWEF1807181350KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181155KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181330KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181210KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Fremont,4081,07/11/2018,GWIN1807111230GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Fremont,4081,07/11/2018,GWIN1807111210GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Blissfield,3340,08/02/2018,SWEF1808021115GSC,Treated Drinking Water,ND,4,Isotope Dilution
NEWAYGO,Fremont,4081,07/11/2018,GWIN1807111350GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181300KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Willows on Twin Ponds,147,07/16/2018,GWIN1807161155KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Fremont,4081,07/11/2018,GWIN1807111220GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Mason Manor,630,07/10/2018,GWNT1807101225KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Fremont,4081,07/11/2018,GWIN1807111300GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Swan Lake Mobile Estates,100,07/09/2018,GWNT1807091235KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Michigan State University,13900,07/18/2018,GWNT1807181140KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Newaygo,1976,07/31/2018,GWEF1807311220KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KEWEENAW,Sherman Township,40,07/30/2018,GWEF1807301230GGA,Raw Water,ND,2,EPA 537 Rev. 1.1
LIVINGSTON,The Peninsula Development LLC,270,07/30/2018,GWEF1807301145GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
HOUGHTON,Chassell Township,800,07/31/2018,GWEF1807311230GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Hidden Creek Estates,77,07/26/2018,GWEF1807261020KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Gunther Mobile Home Court Inc,105,08/09/2018,GWNT1808091030GSC,Raw Water,2,2,EPA 537 Rev. 1.1
NEWAYGO,Newaygo,1976,07/31/2018,GWEF1807311200KER,Raw Water,ND,6,EPA 537 Rev. 1.1
KEWEENAW,Grant Township - Copper Harbor,90,07/30/2018,GWEF1807300900GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Huntmore Estates,40,07/30/2018,GWEF1807301030GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
CLINTON,"Westphalia, Village of",925,07/27/2018,GWNT1807271100KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Paw Paw Lake MH Park,122,07/23/2018,GWNT1807231130GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
CLINTON,Creekside Meadows of St. Johns,387,07/25/2018,GWEF1807250915KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
CLINTON,Cadgewith Farms,344,07/23/2018,GWNT1807231300KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Paw Paw Lake MH Park,122,07/23/2018,GWNT1807231100GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,"South Lyon, City of",11055,07/31/2018,GWEF1807311500GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Sunset Mobile Home Park,88,07/27/2018,GWNT1807271230KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
HOUGHTON,Houghton,7512,07/31/2018,GWEF1807311100GGA,Treated Drinking Water,ND,3,EPA 537 Rev. 1.1
BERRIEN,Lakeland Medical Center-Berrien Cntr,170,07/23/2018,GWEF1807231400GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
HOUGHTON,Michigan-American Water Co,9646,07/30/2018,GWEF1807301310GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Lansing Board of Water & Light,193500,07/27/2018,GWEF1807270950KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Yankee Springs Meadows,710,07/26/2018,GWNT1807261130KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Hartland Meadows,1175,07/31/2018,GWEF1807311400GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,Lansing Board of Water & Light,193500,07/27/2018,GWEF1807270915KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
INGHAM,"Stockbridge, Village of",1202,07/23/2018,GWEF1807231045KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Grant,894,07/31/2018,GWMP1807311100KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Gunther Mobile Home Court Inc,105,08/09/2018,GWNT1808091050GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
KEWEENAW,Houghton Township,40,07/30/2018,GWNT1807301030GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Gunther Mobile Home Court Inc,105,08/09/2018,GWNT1808091040GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
KEWEENAW,Eagle Harbor Township,80,07/30/2018,GWEF1807300930GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
CLINTON,"Westphalia, Village of",925,07/27/2018,GWNT1807271045KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Alan's Park - Fowlerville,498,07/27/2018,GWNT1807271100GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Fenton Lakefront Community LLC,80,08/01/2018,GWEF1808011600KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GRATIOT,"Ashley, Village of",526,07/30/2018,GWEF1807301145KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Swartz Creek Meadows,250,08/01/2018,GWNT1808011050KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
CLINTON,"Maple Rapids, Village of",643,07/30/2018,GWEF1807301030KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Beecher Metropolitan District,9400,08/07/2018,GWEF1808070800GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Western Pines Apartments,50,08/01/2018,GWEF180811415KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Fenton Harbor Condominiums,40,08/01/2018,GWEF1808011530KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Beecher Metropolitan District,9400,08/06/2018,GWEF1808061500GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Swartz Creek Meadows,250,08/01/2018,GWNT1808011010KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,My Place at Heritage Estates,75,08/01/2018,GWEF1808011330KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Swartz Creek Meadows,250,08/01/2018,GWNT1808011030KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,Beecher Metropolitan District,9400,08/06/2018,GWEF1808061515GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,"Fowlerville, Village of",2951,07/27/2018,GWEF1807270930GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Saline,9158,08/02/2018,GWEF1808020830GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LAPEER,Ideal Villa Mobile Home Park,266,08/02/2018,GWNT1808021130KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
VAN BUREN,Lantern Bay Treatment Center,52,07/25/2018,GWNT1807251330GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
LAPEER,Pine Lakes Manufactured Homes,230,08/02/2018,GWEF1808021215KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GENESEE,"Westhaven Mobile Home Park, LLC",122,08/01/2018,GWEF1808011500KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Handy Township - Red Cedars Crossing,728,07/27/2018,GWEF1807271030GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
CLINTON,"Maple Rapids, Village of",643,07/30/2018,GWEF1807301045KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Milan,7363,08/02/2018,GWEF1808020930GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,"Fowlerville, Village of",2951,07/27/2018,GWEF1807270900GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Baseline Mobile Home Park,188,06/12/2018,GWT1806121530GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
MUSKEGON,Muskegon Heights,10856,08/13/2018,GWEF1808131410MK,Treated Drinking Water,4,4,EPA 537 Rev. 1.1
OTSEGO,"Gaylord, City of",3645,08/13/2018,GWEF1808131100GGA,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
BERRIEN,Lake Charter Township,6800,07/19/2018,SWEF1807190910GGA,Treated Drinking Water,2,2,EPA 537 Rev. 1.1
BERRIEN,Lake Charter Township,6800,07/19/2018,SWEF1807190910GGA,Treated Drinking Water,ND,ND,Isotope Dilution
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807090910KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Lake Charter Township,6800,07/19/2018,SWIN1807190900GGA,Raw Water,ND,ND,Isotope Dilution
MUSKEGON,Muskegon,87880,07/26/2018,SWIN1807261400JER,Raw Water,2,2,Isotope Dilution
MONROE,Frenchtown Township,16481,07/26/2018,SWIN1807261015GSC,Raw Water,ND,4,Isotope Dilution
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807091010KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807091100KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807090855KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807091130KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
MUSKEGON,Muskegon,87880,07/26/2018,SWEF1807261415KER,Treated Drinking Water,ND,2,Isotope Dilution
MUSKEGON,Maple Island Estates,320,08/13/2018,GWNT1808131515MK,Raw Water,3,9,EPA 537 Rev. 1.1
MARQUETTE,Richmond Township,489,08/14/2018,GWNT1808141515GSC,Raw Water,ND,2,EPA 537 Rev. 1.1
WAYNE,Wyandotte,25883,07/26/2018,SWEF1807260900GSC,Treated Drinking Water,ND,ND,Isotope Dilution
CASS,Barron Lake/Rosebush,75,07/25/2018,GWEF1807250930GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807090835KET,Raw Water,ND,ND,EPA 537 Rev. 1.1
MUSKEGON,Maple Island Estates,320,08/13/2018,GWNT1808131505MK,Raw Water,3,8,EPA 537 Rev. 1.1
BARAGA,Baraga,2240,08/02/2018,SWIN1808020900GGA,Raw Water,ND,ND,Isotope Dilution
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807091030KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
MONROE,Frenchtown Township,16481,07/26/2018,SWEF1807261020GSC,Treated Drinking Water,ND,2,Isotope Dilution
VAN BUREN,Country Holiday Estates,148,07/25/2018,GWNT1807251100GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807091115KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
BARAGA,Baraga,2240,08/02/2018,SWEF1808020930GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807091045KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
MUSKEGON,Maple Island Estates,320,08/13/2018,GWNT1808131510MK,Raw Water,3,8,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807090950KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OTSEGO,"Gaylord, City of",3645,08/13/2018,GWEF1808131130GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MONROE,Frenchtown Township,16481,07/26/2018,SWEF1807261020GSC,Treated Drinking Water,ND,3,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807090925KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Lake Charter Township,6800,07/19/2018,SWEF1807190915GGA-FD,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WAYNE,Wyandotte,25883,07/26/2018,SWEF1807260900GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BARAGA,Baraga,2240,08/02/2018,SWEF1808020930GGA,Treated Drinking Water,ND,ND,Isotope Dilution
ALLEGAN,Dumont Creek Estates,188,06/12/2018,GWT1806121350GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Richmond Township,489,08/14/2018,GWNT1808141530GSC,Raw Water,ND,2,EPA 537 Rev. 1.1
ALLEGAN,Mystic View Apartments,119,07/09/2018,GWNT1807090820KER,Raw Water,2,4,EPA 537 Rev. 1.1
MUSKEGON,Muskegon,87880,07/26/2018,SWEF1807261415KER,Treated Drinking Water,2,2,EPA 537 Rev. 1.1
WAYNE,Wyandotte,25883,07/26/2018,SWIN1807260910GSC,Raw Water,ND,ND,Isotope Dilution
OTSEGO,"Gaylord, City of",3645,08/13/2018,GWEF1808131115GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,St. Louis Center,56,07/24/2018,GWEF1807241400KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,St. Louis Center,56,07/24/2018,GWEF1807241345KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,Manchester,2150,07/24/2018,GWEF1807241430KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
WASHTENAW,St. Louis Center,56,07/24/2018,GWEF1808241330KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LIVINGSTON,Sylvan Glen Estates,1205,08/01/2018,GWEF1808011630GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Pine Aire Mobile Home Park,202,05/30/2018,GW1805300855GSC,Raw Water,ND,8,EPA 537 Rev. 1.1
WASHTENAW,Chelsea,4944,07/24/2018,GWEF1807241230KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LAPEER,Wedgewood Golfside Condo Assoc,125,08/02/2018,GWNT1808021315KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
GOGEBIC,Ojibway Correctional Facility,1040,08/01/2018,GWEF1808011500GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
GOGEBIC,Marenisco Township,430,08/01/2018,GWNT1808011445GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
ONTONAGON,Bergland Township,210,08/01/2018,GWNT1808011210GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
