COUNTY NAME,WSSN,System Name,"Sample
Site Code",Sample Date,Vista or Merit  Order Number,AECOM Sample ID,Method,Results Received by DEQ ,PFBS,PFHxA,PFHpA,PFHxS,PFOA,PFNA,PFOS,PFDA,MeFOSAA,EtFOSAA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFOA + PFOS,Calculated Total PFAS,,,,,,,,,,,,,,,,,,,,
LEELANAU,2004745,ST MARYS ELEM & HIGH SCHOOL,227,9/5/18,1802951-01,GWNT1809051000KER,EPA 537,10/8/18,ND,2,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,,,,,,,,,,,,,,,,,,,,
LIVINGSTON,00860,"BRIGHTON, CITY OF",TP001,7/18/18,1801851-02,GWEF1807181320GSC,EPA 537,8/16/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
LIVINGSTON,05819,HIDDEN SHORES WEST,CH001,7/30/18,1802135-01,GWEF1807301245GSC,EPA 537,9/4/18,ND,3,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,7,,,,,,,,,,,,,,,,,,,,
LIVINGSTON,2054047,LEARNING LADDER,002,12/7/18,1804088-01,GWEF1812071010KER,EPA 537,1/24/19,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
LIVINGSTON,2087847,LIGHT OF THE WORLD ACADEMY,87,8/1/18,1802222-01,GWEF1808011415GSC,EPA 537,9/4/18,2,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,,,,,,,,,,,,,,,,,,,,
LIVINGSTON,2061947,LITTLE FRIENDS DAY CARE,001,12/4/18,1804001-01,GWEF1812041310KER,EPA 537,12/27/18,3,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,,,,,,,,,,,,,,,,,,,,
LIVINGSTON,2035747,PINCKNEY SCHOOLS - COUNTRY ELEMENTARY,339,8/1/18,1802213-01,GWEF1801010900GSC,EPA 537,9/6/18,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,,,,,,,,,,,,,,,,,,,,
LIVINGSTON,40326,WOODLAND PARK AND SALES,CH001,7/18/18,1801852-01,GWNT1807181345GSC,EPA 537,8/16/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
MACOMB,01545,MAIN STREET APARTMENTS,WL001,10/29/18,S96345.01,GWEF1810290840KME,EPA 537,12/21/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
MACOMB,01545,MAIN STREET APARTMENTS,WL002,10/29/18,S96345.02,GWNT1810290850KME,EPA 537,12/21/18,3,ND,ND,ND,6,ND,3,ND,ND,ND,ND,ND,ND,ND,9,12,,,,,,,,,,,,,,,,,,,,
MANISTEE,00510,"BEAR LAKE, VILLAGE OF",TP102,9/18/18,S94690.01,GWIN1809181500GGA,EPA 537,10/29/18,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
MANISTEE,00510,"BEAR LAKE, VILLAGE OF",TP102,9/18/18,S94690.02,GWEF1809181530GGA,EPA 537,10/29/18,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
MANISTEE,03550,"KALEVA, VILLAGE OF",TP101,9/19/18,S94691.01,GWIN1809190900GGA,EPA 537,10/29/18,5,ND,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,2,7,,,,,,,,,,,,,,,,,,,,
MARQUETTE,01416,CHOCOLAY SHORES APARTMENTS,CH001,8/16/18,1802585-01,GWNT1808160800GSC,EPA 537,9/17/18,2,ND,ND,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,3,5,,,,,,,,,,,,,,,,,,,,
MARQUETTE,03510,K I SAWYER,TP001,8/15/18,1802525-04,GWIN1808151535GSC,EPA 537,10/8/18,3,ND,ND,7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10,,,,,,,,,,,,,,,,,,,,
MARQUETTE,05160,RICHMOND TOWNSHIP,CH001,8/14/18,1802506-02,GWNT1808141530GSC,EPA 537,9/10/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
MARQUETTE,05160,RICHMOND TOWNSHIP,WL003,8/14/18,1802506-01,GWNT1808141515GSC,EPA 537,9/10/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
MARQUETTE,40519,SILVER CREEK ESTATES MOBILE HOME COURT,CH001,8/15/18,1802522-01,GWNT1808151130GSC,EPA 537,10/12/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
MASON,40333,HERITAGE HILLS MOBILE HOME VILLAGE,CH001,11/6/18,S96635.01,GWNT1811061240KME,EPA 537,1/21/19,9,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13,,,,,,,,,,,,,,,,,,,,
MECOSTA,2007854,CHIPPEWA HILLS HIGH SCHOOL,625,9/13/18,S94403.01,GWIN1809130930KER,EPA 537,10/15/18,ND,5,ND,9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,14,,,,,,,,,,,,,,,,,,,,
MECOSTA,2019354,MORLEY-STANWOOD ELEMENTARY SCHOOL,500,9/17/18,S94660.01,GWNT1809171120KER,EPA 537,10/26/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
MECOSTA,40653,SUNSET SHORES,CH003,10/23/18,1803402-03,GWNT1810231440MK,EPA 537,11/2/18,3,2,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,9,,,,,,,,,,,,,,,,,,,,
MENOMINEE,2009755,MENOMINEE HEADSTART,001,11/28/18,1803872-01,GWNT1811280900GGA,EPA 537,12/27/18,ND,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,,,,,,,,,,,,,,,,,,,,
MONROE,2034258,IDA STRIP MALL,002,12/5/18,1804002-01,GWIN1812050920KER,EPA 537,12/27/18,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,,,,,,,,,,,,,,,,,,,,
MONROE,04455,MONROE SOUTH COUNTY,TP001,10/24/18,1803416-01,GWNT1810241130MK,EPA 537,11/2/18,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
MONTCALM,2001959,CENTRAL MONTCALM SCHOOLS,985,7/13/18,1801800-01,GWNT1807131300GGA,EPA 537,8/13/18,ND,5,3,37,12,ND,7,ND,ND,ND,ND,ND,ND,ND,19,64,,,,,,,,,,,,,,,,,,,,
MONTCALM,2001959,CENTRAL MONTCALM SCHOOLS,,8/17/18,1802622-01,GWNT1808171310GGA,EPA 537,9/25/18,ND,6,3,43,16,ND,11,ND,ND,ND,ND,ND,ND,ND,27,79,,,,,,,,,,,,,,,,,,,,
MONTCALM,2001959,CENTRAL MONTCALM SCHOOLS - 3RD SAMPLE,,9/14/18,1803129-01,GWNT1809140950MK,EPA 537,10/29/18,ND,6,3,51,19,ND,12,ND,ND,ND,ND,ND,ND,ND,31,91,,,,,,,,,,,,,,,,,,,,
MONTCALM,02070,EDMORE,WL003,7/2/18,1801616-03,GWINT1807021335GSC,EPA 537,8/16/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
MONTCALM,02839,GREAT LAKE ADVENTIST ACADEMY,WL001,7/2/18,1801614-01,GWNT1807021130GSC,EPA 537,8/16/18,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,,,,,,,,,,,,,,,,,,,,
MONTCALM,02839,GREAT LAKE ADVENTIST ACADEMY,WL002,7/2/18,1801614-02,GWNT1807021140GSC,EPA 537,8/16/18,7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7,,,,,,,,,,,,,,,,,,,,
MONTCALM,02850,GREENVILLE,TP100,7/3/18,1801625-01,GWEF1807030950GSC,EPA 537,8/16/18,2,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,,,,,,,,,,,,,,,,,,,,
MONTCALM,2032659,MONTCALM AREA CAREER CENTER,300,7/12/18,1801763-01,GWIN1807121030GA,EPA 537,8/1/18,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,,,,,,,,,,,,,,,,,,,,
MONTCALM,06040,SHERIDAN,TP102,7/3/18,1801630-01,GWIN1807031430GGA,EPA 537,8/14/18,ND,4,ND,3,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,9,,,,,,,,,,,,,,,,,,,,
MONTCALM,2001359,TRI COUNTY JUNIOR HIGH,533,7/12/18,1801760-01,GWNT1807120910GA,EPA 537,8/2/18,ND,20,6,ND,31,ND,31,ND,ND,ND,ND,ND,ND,ND,62,88,,,,,,,,,,,,,,,,,,,,
MONTCALM,2001359,TRI COUNTY JUNIOR HIGH,,8/3/18,1802243-01,GWNT1808031440JTM,EPA 537,8/8/18,ND,9,3,ND,13,ND,14,ND,ND,ND,ND,ND,ND,ND,27,39,,,,,,,,,,,,,,,,,,,,
MONTCALM,2001359,TRI COUNTY JUNIOR HIGH ,,7/12/18,1801760-01,GWNT1807120910GA,EPA 537,8/7/18,ND,20,6,ND,28,ND,30,ND,ND,ND,ND,ND,ND,ND,58,84,,,,,,,,,,,,,,,,,,,,
MONTMORENCY,04874,OAK LEAF MANOR,CH501,10/30/18,S96360.01,GWNT1810301000GGA,EPA 537,1/7/19,ND,ND,ND,18,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,18,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40356,ARLINGTON WOODS,CH001,7/6/18,1801638-01,GWNT1807060930GGA,EPA 537,8/2/18,ND,ND,ND,ND,2,ND,2,ND,ND,ND,ND,ND,ND,ND,4,4,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40356,ARLINGTON WOODS,CH002,7/6/18,1801638-05,GWNT1807061035GGA,EPA 537,8/2/18,2,3,ND,2,3,ND,2,ND,ND,ND,ND,ND,ND,ND,5,12,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40356,ARLINGTON WOODS,WL010,7/6/18,1801638-03,GWNT1807060950GGA,EPA 537,8/2/18,ND,ND,ND,ND,2,ND,3,ND,ND,ND,ND,ND,ND,ND,5,5,,,,,,,,,,,,,,,,,,,,
MUSKEGON,2042661,CCP Discovery School,001,12/3/18,1803944-01,GWNT1812030930KME,EPA 537,12/21/18,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,ND,ND,ND,ND,ND,4,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40600,EGELCRAFT MOBILE HOME PARK,FIELD DUPLICATE,7/6/18,1801642-01,GWEF1807061215GGA-FD,EPA 537,8/6/18,ND,4,ND,4,6,ND,7,ND,ND,ND,ND,ND,ND,ND,13,21,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40600,EGELCRAFT MOBILE HOME PARK,TP100,7/6/18,1801642-02,GWEF1807061220GGA,EPA 537,8/6/18,3,7,4,9,12,ND,14,ND,ND,ND,ND,ND,ND,ND,26,49,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40600,EGELCRAFT MOBILE HOME PARK ,TP101,7/6/18,1801642-02,GWEF1807061220GGA,EPA 537,8/2/18,3,7,4,9,12,ND,14,ND,ND,ND,ND,ND,ND,ND,26,49,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40361,MAPLE ISLAND ESTATES,WL001,8/13/18,1802437-01,GWNT1808131505MK,EPA 537,9/10/18,3,2,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,8,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40361,MAPLE ISLAND ESTATES,WL002,8/13/18,1802437-02,GWNT1808131510MK,EPA 537,9/10/18,3,ND,ND,2,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,8,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40361,MAPLE ISLAND ESTATES,WL003,8/13/18,1802437-03,GWNT1808131515MK,EPA537,9/10/18,2,2,ND,2,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,9,,,,,,,,,,,,,,,,,,,,
MUSKEGON,2016961,OAKRIDGE -CARR SCHOOL/COMMUNITY ED,,7/10/18,1801748-01,GWNT1807101030GGA,EPA 537,8/2/18,ND,ND,ND,2,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,3,5,,,,,,,,,,,,,,,,,,,,
MUSKEGON,2021461,REETHS PUFFER/TWIN LAKE ELEMEN,,7/10/18,1801751-01,GWNT1807101430GGA,EPA 537,8/1/18,3,3,ND,ND,6,ND,2,ND,ND,ND,ND,ND,ND,ND,8,14,,,,,,,,,,,,,,,,,,,,
MUSKEGON,2021461,REETHS PUFFER/TWIN LAKE ELEMEN,,8/10/18,1802431-01,GWNT1808101230GGA,EPA 537,9/17/18,3,4,2,ND,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,14,,,,,,,,,,,,,,,,,,,,
MUSKEGON,2044161,The Hop Childcare Center,001,12/3/18,1803943-01,GWNT812030905KME,EPA 537,12/21/18,6,7,ND,3,6,ND,8,ND,ND,ND,ND,ND,ND,ND,14,30,,,,,,,,,,,,,,,,,,,,
MUSKEGON,2044161,The Hop Childcare Center,,1/3/2019,1900059-01,GWNT1901031300KME,EPA 537,1/21/19,7,9,2,3,9,ND,10,ND,ND,ND,ND,ND,ND,ND,19,40,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40363,TIMBERLINE ESTATES,CH001,7/11/18,1801757-01,GWNT1807111050GGA,EPA 537,8/1/18,3,2,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,9,,,,,,,,,,,,,,,,,,,,
MUSKEGON,40363,TIMBERLINE ESTATES,CH002,7/11/18,1801757-02,GWNT1807111055GGA,EPA 537,8/1/18,2,3,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,9,,,,,,,,,,,,,,,,,,,,
NEWAYGO,02490,FREMONT,TP106,7/11/18,1801758-06,GWIN1807111310GGA,EPA 537,8/1/18,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,2,,,,,,,,,,,,,,,,,,,,
NEWAYGO,03130,HESPERIA,CH001,9/18/18,S94669.01,GWNT1809191240KER,EPA 537,10/29/18,15,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15,,,,,,,,,,,,,,,,,,,,
NEWAYGO,03130,HESPERIA,WL003,9/18/18,S94669.02,GWNT1809191300KER,EPA 537,10/29/18,2,11,9,ND,7,ND,ND,ND,ND,ND,ND,ND,ND,ND,7,29,,,,,,,,,,,,,,,,,,,,
NEWAYGO,04710,NEWAYGO,WL007,7/31/18,1802184-01,GWEF1807311200KER,EPA 537,8/31/18,2,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,,,,,,,,,,,,,,,,,,,,
OAKLAND,2123363,CEDAR CREST ACADEMY,200,7/12/18,1801726-01,GWEF1807120830GSC,EPA 537,8/2/18,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
OAKLAND,2156563,CEDAR CREST EARLY CHILDHOOD,25,7/12/18,1801727-01,GWEF180712840GSC,EPA 537,8/1/18,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
OAKLAND,40377,CLARKSTON LAKE ESTATES,TP100,6/20/18,1801450-01,GW1806201000EDK,EPA 537,8/16/18,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
OAKLAND,2052663,GLENGARY ELEMENTARY/WLS,400,7/11/18,1801707-01,GWNT1807111020GSC,EPA 537,8/2/18,10,29,10,8,20,ND,ND,ND,ND,ND,ND,ND,ND,ND,20,77,,,,,,,,,,,,,,,,,,,,
OAKLAND,2052663,GLENGARY ELEMENTARY/WLS,,8/7/18,1802318-01,GWNT1808071400KER,EPA 537,8/30/18,10,30,12,8,18,ND,ND,ND,ND,ND,ND,ND,ND,ND,18,78,,,,,,,,,,,,,,,,,,,,
OAKLAND,02847,GREENS LAKE APARTMENTS,CH001,6/7/18,1801180-01,GW1806071040EDK,EPA 537,8/16/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
OAKLAND,03117,HERITAGE APARTMENTS,CH001,7/11/18,1801705-01,GWEF1807111000GSC,EPA 537,8/2/18,21,7,ND,8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,36,,,,,,,,,,,,,,,,,,,,
OAKLAND,03342,INDEPENDENCE TOWNSHIP,TP101,6/4/18,1801190-01,GW1806040920EDK,EPA 537,7/13/18,4,ND,ND,6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10,,,,,,,,,,,,,,,,,,,,
OAKLAND,2014563,MILFORD HIGH SCHOOL/HVS,1900,7/13/18,1801789-01,GWEF1807131140GSC,EPA 537,8/13/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
OAKLAND,2213763,OAK VALLEY/COUNTRY OAKS/HVS,1400,7/13/18,1801787-01,GWIN1807131045GSC,EPA 537,8/13/18,ND,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,,,,,,,,,,,,,,,,,,,,
OAKLAND,2079063,OAKLAND SCHOOLS-TECHNICAL CAMPUS NW,500,7/12/18,1801725-01,GWEF1807120800GSC,EPA 537,8/3/18,4,ND,ND,ND,3,ND,5,ND,ND,ND,ND,ND,ND,ND,8,12,,,,,,,,,,,,,,,,,,,,
OAKLAND,2079063,OAKLAND SCHOOLS-TECHNICAL CAMPUS NW,,8/9/18,1802406-01,GWEF1808090930KER,EPA 537,9/7/18,6,3,ND,ND,3,2,4,ND,ND,ND,ND,ND,ND,ND,7,18,,,,,,,,,,,,,,,,,,,,
OAKLAND,05136,OXFORD VILLAGE CONDOMINIUMS,WL002,7/10/18,1801661-01,GWEF1807101330GSC,EPA 537,8/2/18,4,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7,,,,,,,,,,,,,,,,,,,,
OAKLAND,05345,PINECREST APARTMENTS,WL005,6/20/18,1801452-02,GW1806201305EDK,EPA 537,7/27/18,8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8,,,,,,,,,,,,,,,,,,,,
OAKLAND,40575,SASHABAW MEADOWS MHP,TP100,6/19/18,1801431-01,GW1806191330EDK,EPA 537,8/16/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
OAKLAND,06910,WATERFORD TOWNSHIP,TP108,6/6/18,1801181-01,GW1806061351EDK,EPA 537,7/10/18,ND,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,,,,,,,,,,,,,,,,,,,,
OAKLAND,2090463,WEST HIGHLAND CHRISTIAN,25,7/17/18,1801820-01,GWEF1807170800GSC,EPA 537,8/20/18,ND,4,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,,,,,,,,,,,,,,,,,,,,
OCEANA,40405,GREENLAWN MOBILE HOME COURT,CH001-FD,11/5/18,S96624.04,GWNT1811050915KME-FD,EPA 537,1/11/19,ND,6,2,ND,8,ND,ND,ND,ND,ND,ND,ND,ND,ND,8,16,,,,,,,,,,,,,,,,,,,,
OCEANA,2006864,NEW ERA CHRISTIAN SCHOOL,105,11/5/18,S96625.01,GWNT1811050940KME,EPA 537,1/11/19,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
OCEANA,2026264,WALKERVILLE COMMUNITY SCHOOL,450,11/6/18,S96631.01,GWNT1811060925KME,EPA 537,1/11/19,ND,2,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,4,,,,,,,,,,,,,,,,,,,,
OCEANA,2001964,WALKERVILLE ELEMENTARY SCHOOL,300,11/6/18,S96632.01,GWNT1811060935KME,EPA 537,1/11/19,2,ND,ND,6,5,ND,3,ND,ND,ND,ND,ND,ND,ND,8,16,,,,,,,,,,,,,,,,,,,,
OCEANA,2001964,WALKERVILLE ELEMENTARY SCHOOL,,1/16/19,1900136-01,GWNT1901160950KME,EPA 537,2/4/19,3,3,ND,7,6,ND,2,ND,ND,ND,ND,ND,ND,ND,8,21,,,,,,,,,,,,,,,,,,,,
OSCEOLA,02190,"EVART, CITY OF",TP101,9/10/18,EVART02190TP101,GWNT1809101100KER,EPA 537,10/3/18,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,,,,,,,,,,,,,,,,,,,,
OSCEOLA,02190,"EVART, CITY OF",TP104,9/10/18,EVART02190TP104,GWEF1809101050KER,EPA 537,10/3/18,20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,20,,,,,,,,,,,,,,,,,,,,
OSCEOLA,02190,"EVART, CITY OF",TP106,9/10/18,EVART02190TP106,GWEF1809101110KER,EPA 537,10/3/18,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,2,,,,,,,,,,,,,,,,,,,,
OTSEGO,02600,"GAYLORD, CITY OF",TP104,8/13/18,1802470-01,GWEF1808131100GGA,EPA 537,9/10/18,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
OTSEGO,2002769,VANDERBILT SCHOOL,125,8/14/18,1802480-01,GWEF1808141300GGA,EPA 537,9/10/18,3,2,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,8,,,,,,,,,,,,,,,,,,,,
OTTAWA,2055670,ALL FOR KIDS,001,11/28/18,1803818-01,GWNT1811280800KME,EPA 537,12/20/18,ND,4,3,ND,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,12,,,,,,,,,,,,,,,,,,,,
OTTAWA,2055670,ALL FOR KIDS,,1/7/19,1900063-01,GWNT1901081400,EPA 537,1/21/19,2,4,2,ND,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,13,,,,,,,,,,,,,,,,,,,,
OTTAWA,40417,CROCKERY MOBILE HOME PARK,CH001,9/20/18,S94677.02,GWNT1809201345KER,EPA 537,10/26/18,13,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13,,,,,,,,,,,,,,,,,,,,
OTTAWA,40417,CROCKERY MOBILE HOME PARK,WL001,9/20/18,S94677.01,GWNT1809201330KER,EPA 537,10/26/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
OTTAWA,2049370,Future Steps Learning Center LLC,001,11/28/18,1803819-01,GWNT1811280820KME,EPA 537,12/20/18,3,ND,ND,ND,3,ND,7,ND,ND,ND,ND,ND,ND,ND,10,13,,,,,,,,,,,,,,,,,,,,
OTTAWA,2049370,Future Steps Learning Center LLC,,1/3/19,1900060-01,GWNT1901031405,EPA 537,1/21/19,3,ND,ND,3,2,ND,16,ND,ND,ND,ND,ND,ND,ND,18,24,,,,,,,,,,,,,,,,,,,,
OTTAWA,2067070,LITTLE TYKES UNIVERSITY LLC,001,11/28/18,1803820-01,GWNT1811280915KME,EPA 537,12/21/18,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
OTTAWA,2008270,LOVING HEARTS LITTLE HANDS,001,11/2/18,1803526-01,WR1811021045MK,EPA 537,11/9/18,14,ND,ND,9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,23,,,,,,,,,,,,,,,,,,,,
OTTAWA,2008270,LOVING HEARTS LITTLE HANDS,001,10/29/18,S96102.01,GWNT1810291225MK,EPA 537,10/30/18,17,ND,ND,11,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,4,32,,,,,,,,,,,,,,,,,,,,
OTTAWA,2025370,ROBINSON ELEMENTARY SCHOOL,362,9/18/18,S94666.01,GWNT1809181315KER,EPA 537,10/29/18,14,ND,ND,20,9,ND,101,ND,ND,ND,ND,ND,ND,ND,110,144,,,,,,,,,,,,,,,,,,,,
OTTAWA,2025370,ROBINSON ELEMENTARY SCHOOL - 2ND SAMPLE,,10/29/18,S96101.01,GWNT1810291140MK,EPA 537,10/31/18,29,ND,ND,23,13,ND,106,ND,ND,ND,ND,ND,ND,ND,119,171,,,,,,,,,,,,,,,,,,,,
OTTAWA,40426,TALLMADGE MEADOWS,WL001,9/24/18,S94956.01,GWNT1809241040KER,EPA 537,11/2/18,11,7,3,4,8,ND,7,ND,ND,ND,ND,ND,ND,ND,15,40,,,,,,,,,,,,,,,,,,,,
OTTAWA,2030370,TRINITY LUTHERAN SCHOOL,40,9/18/18,S94663.01,GWEF1809180930KER,EPA 537,10/26/18,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,2,,,,,,,,,,,,,,,,,,,,
ROSCOMMON,2025472,C.O.O.R. SCHOOL,200,10/10/18,S95578.01,GWNT1810101450KME,EPA 537,11/12/18,17,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,17,,,,,,,,,,,,,,,,,,,,
ROSCOMMON,2025472,C.O.O.R. SCHOOL; 2nd Sample,,11/16/18,S96927.01,GWNT1811161030GGA,EPA 537,1/25/19,14,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,14,,,,,,,,,,,,,,,,,,,,
ROSCOMMON,63635,KING NURSING & REHABILITATION COMMUNITY,CH001,10/11/18,S95582.01,GWIN1810111240KME,EPA 537,11/12/18,ND,ND,ND,2,3,ND,2,ND,ND,ND,ND,ND,ND,ND,5,7,,,,,,,,,,,,,,,,,,,,
ROSCOMMON,2039172,OUR LADY OF THE LAKE,60,10/9/18,S95567.01,GWIN1810091130KER,EPA 537,11/12/18,ND,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,3,,,,,,,,,,,,,,,,,,,,
SAGINAW,40441,PARKWOOD VILLAGE,CH001,8/27/18,1802764-01,GWEF1808271200KER,EPA 537,10/9/18,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
ST JOSEPH,03943,LOCKPORT TOWNSHIP,WL002,10/3/18,S95241.01,GWNT1810031100GGA,EPA 537,11/7/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
